method,outputSNRDb,nrmse,whitenessCost,correlation,finalA
ProceduralAdaptive,-12.1218669837822,1.2124871520622893,0.3555717282901707,0.26493745304046656,0.9696708109653571
OctomataAdaptive,-12.1218669837822,1.2124871520622893,0.3555717282901707,0.26493745304046656,0.9696708109653571
FixedBaseline,-12.130953357228389,1.1937400491502088,0.8698203626951433,0.28749234752600245,0
