scenarioName,variantName,eventCount,finalGate,finalReason,finalConfidence,finalMissRate,finalArrivalError,healthyCount,canaryCount,blockedCount,disabledCount,unknownCount,timeToFirstHealthy,timeToFirstCanary,timeToRecover,chatterCount,overPromotionFlag,boundaryOverPromotionFlag,healthyMarginPassCount,healthyStreakCountFinal,healthySuppressedByMarginCount,healthySuppressedByStreakCount,recentFallbackHealthyViolation,recentStaleHealthyViolation,highArrivalErrorObserved,expectedBehaviorMet,rakeSignal,notes
RecoveryAfterBadPatch,HealthyStreakGate,14,HEALTHY,None,0.8876954090468512,0.09698716273428837,0.09169353414359825,1,3,10,0,0,13,10,10,3,false,false,4,3,0,2,false,false,false,true,false,long-recovery
RecoveryAfterBadPatch,HealthyMarginAndStreak,14,CANARY_ELIGIBLE,None,0.8876954090468512,0.09698716273428837,0.09169353414359825,0,4,10,0,0,-1,10,10,2,false,false,1,1,2,3,false,false,false,true,false,long-recovery
MatchThenFallbackThenRecover,ReasonBindingEMA_StrongerCommit,13,HEALTHY,None,0.8920330409029895,0.08818816363568642,0,4,3,6,0,0,3,0,11,4,false,false,7,2,0,0,false,false,false,true,false,degrade+recover
MatchThenFallbackThenRecover,HealthyMarginGate,13,CANARY_ELIGIBLE,None,0.8920330409029895,0.08818816363568642,0,0,7,6,0,0,-1,0,11,3,false,false,1,1,4,0,false,false,false,true,false,degrade+recover
MatchThenFallbackThenRecover,HealthyStreakGate,13,CANARY_ELIGIBLE,None,0.8920330409029895,0.08818816363568642,0,1,6,6,0,0,4,0,11,4,false,false,7,2,0,4,false,false,false,true,false,degrade+recover
MatchThenFallbackThenRecover,HealthyMarginAndStreak,13,CANARY_ELIGIBLE,None,0.8920330409029895,0.08818816363568642,0,0,7,6,0,0,-1,0,11,3,false,false,1,1,4,5,false,false,false,true,false,degrade+recover
HealthyLongRun,ReasonBindingEMA_StrongerCommit,12,HEALTHY,None,0.9746425699213794,0,0,9,3,0,0,0,3,0,-1,2,false,false,10,10,0,0,false,false,false,true,false,long-clean
HealthyLongRun,HealthyMarginGate,12,HEALTHY,None,0.9746425699213794,0,0,7,5,0,0,0,5,0,-1,2,false,false,7,7,3,0,false,false,false,true,false,long-clean
HealthyLongRun,HealthyStreakGate,12,HEALTHY,None,0.9746425699213794,0,0,8,4,0,0,0,4,0,-1,2,false,false,10,10,0,2,false,false,false,true,false,long-clean
HealthyLongRun,HealthyMarginAndStreak,12,HEALTHY,None,0.9746425699213794,0,0,5,7,0,0,0,7,0,-1,2,false,false,7,7,3,5,false,false,false,true,false,long-clean
