seed,inputSNRDb,messageHz,scalarLabel,windowedLabel,scalarDeltaSNRDb,windowedDeltaSNRDb,windowedVsScalarDeltaSNRDb,scalarWhitenessRatio,windowedWhitenessRatio,windowedVsScalarWhitenessRatio,scalarFinalA,windowedFinalA,scalarClampCount,windowedClampCount,equivalencePass
12345,-18,10,AdaptiveWin,WhitenessOnly,0.09705212351388326,-0.009366696756433868,-0.10641882027031713,0.40471094771169897,0.885543061265103,2.188087735875777,0.9262421082458504,0.3956198847381649,494,0,true
12345,-18,25,AdaptiveWin,WhitenessOnly,0.09137439375396994,-0.011810234481725246,-0.10318462823569519,0.40697046989305213,0.884117458568548,2.1724363902826105,0.9158036424310837,0.40209795096992607,482,0,true
12345,-18,50,AdaptiveWin,WhitenessOnly,0.04169735655644757,-0.012577327167559105,-0.05427468372400668,0.4192014068992718,0.8831860350448064,2.106829844811512,0.99,0.3648627945954758,489,0,true
12345,-12,10,AdaptiveWin,WhitenessOnly,0.08490762553402398,-0.008749328066967266,-0.09365695360099124,0.4097604965241173,0.8901316445107267,2.1723217637107735,0.9750060390726198,0.3794502781312956,480,0,true
12345,-12,25,WhitenessOnly,WhitenessOnly,0.009086373446189455,-0.014020610486731755,-0.02310698393292121,0.408787542278294,0.8875010902476737,2.171057085788063,0.9696708109653571,0.39725731055819075,471,0,true
12345,-12,50,AdaptiveWin,WhitenessOnly,0.05436378878321335,-0.019628379329748924,-0.07399216811296228,0.46955593088582015,0.9145953458111059,1.947787868600549,0.99,0.36657955110095053,488,0,true
12345,-6,10,AdaptiveWin,WhitenessOnly,0.0824372422133326,-0.008928495831951544,-0.09136573804528414,0.4475220881750334,0.8859568403876452,1.9796941062692177,0.986388950004575,0.3737963866454762,402,0,true
12345,-6,25,WhitenessOnly,WhitenessOnly,-0.06401695727027512,-0.021927374757665596,0.042089582512609525,0.44944476717036885,0.8797185312161402,1.9573451411001381,0.9839367451052994,0.4206684185981334,413,0,true
12345,-6,50,AdaptiveWin,NoMeaningfulWin,0.032522441615246755,-0.060642021269565305,-0.09316446288481206,0.7027030122792722,1.0844992267950737,1.5433251428310506,0.99,0.4756941988199263,534,0,true
23456,-18,10,WhitenessOnly,WhitenessOnly,-0.5369312068629384,0.0009879045631002725,0.5379191114260387,0.3849589695817417,0.8929657820433348,2.3196388514076314,0.9292123743504633,0.34284152873490953,443,0,true
23456,-18,25,WhitenessOnly,WhitenessOnly,-0.5322362232180282,0.002207596920964505,0.5344438201389927,0.38366828415651677,0.8926118016567429,2.3265196486476047,0.9546549643915703,0.34013026498068266,454,0,true
23456,-18,50,WhitenessOnly,WhitenessOnly,-0.45998677327844106,-0.0008242682990236005,0.45916250497941746,0.3928901678476957,0.8986689633372439,2.2873287164618463,0.8796228912983445,0.39393596589305124,473,0,true
23456,-12,10,WhitenessOnly,WhitenessOnly,-0.6354306943985737,0.0006957802794715917,0.6361264746780453,0.38946907045766926,0.8944405849604962,2.2965638424272936,0.9745273048554834,0.34158362716571855,444,0,true
23456,-12,25,WhitenessOnly,WhitenessOnly,-0.71524309909341,0.0030175167591917074,0.7182606158526017,0.38688547068703216,0.89240806022371,2.306646612071681,0.9817807606543324,0.34366099559832647,461,0,true
23456,-12,50,WhitenessOnly,WhitenessOnly,-0.6660311697956338,-0.005223571169860719,0.6608075986257731,0.4738188158202412,0.956043604844586,2.017740902050398,0.9663353938329049,0.490305040192195,511,0,true
23456,-6,10,WhitenessOnly,WhitenessOnly,-0.04799720418401332,0.002200682297107903,0.05019788648112122,0.44386168601748494,0.8881357614082818,2.0009290943172573,0.9859711951005005,0.3472165860328559,405,0,true
23456,-6,25,WhitenessOnly,AdaptiveWin,-0.07825464743230004,0.010025914226964083,0.08828056165926412,0.4543417750381506,0.8836708716477119,1.9449474386770678,0.9886069270226799,0.3861569366764782,433,0,true
23456,-6,50,WhitenessOnly,NoMeaningfulWin,-0.23810853954470979,-0.0412938918680954,0.19681464767661438,0.7353828276078361,1.141032721965578,1.5516173061534304,0.99,0.6941580267234068,650,0,true
34567,-18,10,AdaptiveWin,WhitenessOnly,0.10732990260687458,-0.0024005453180926395,-0.10973044792496722,0.33283678555527285,0.8935691333766472,2.684706655495515,0.99,0.6759436789332023,453,0,true
34567,-18,25,AdaptiveWin,WhitenessOnly,0.11411156991132998,-0.003887769096433402,-0.11799933900776338,0.3337429020716926,0.8919222178136526,2.6724829570139543,0.99,0.688933433735912,448,0,true
34567,-18,50,AdaptiveWin,WhitenessOnly,0.06630076226273474,-0.007146900768418618,-0.07344766303115335,0.39489731983904697,0.9090102372827767,2.3018901157672147,0.970699440289753,0.67485703614603,483,0,true
34567,-12,10,AdaptiveWin,WhitenessOnly,0.12811176013342873,-0.0020604433573918612,-0.1301722034908206,0.34779253639750807,0.8925431411558711,2.5663090714896337,0.99,0.6764015879519181,405,0,true
34567,-12,25,AdaptiveWin,WhitenessOnly,0.1826327055769834,-0.004796242147058649,-0.18742894772404206,0.3538309757536778,0.8880562046694479,2.509831714917778,0.99,0.7057381605337089,413,0,true
34567,-12,50,AdaptiveWin,NoMeaningfulWin,0.03662771524747477,-0.018530959161148886,-0.055158674408623654,0.5851930203922207,1.0068412535547124,1.720528472602759,0.9847794196142335,0.7166736068992396,519,0,true
34567,-6,10,AdaptiveWin,WhitenessOnly,0.05624070698335881,-0.0008677046765930285,-0.05710841165995184,0.503204546955639,0.8512717518445181,1.6917012316223607,0.99,0.6774814502557925,282,0,true
34567,-6,25,AdaptiveWin,WhitenessOnly,0.054639487778141316,-0.00689035486348466,-0.061529842641625976,0.5239235263208744,0.8556466599817052,1.6331518189085963,0.99,0.7446860701631618,336,0,true
34567,-6,50,WhitenessOnly,NoMeaningfulWin,-0.05260372436766403,-0.10344942957889902,-0.05084570521123499,0.8786050784984608,1.1332064588319097,1.2897790902460065,0.99,0.8261333567362109,646,0,true
