seed,inputSNRDb,messageHz,deltaOutputSNRDb,whitenessRatio,finalA,clampCount,label
12345,-18,10,0.09705212351388326,0.40471094771169897,0.9262421082458504,494,AdaptiveWin
12345,-18,25,0.09137439375396994,0.40697046989305213,0.9158036424310837,482,AdaptiveWin
12345,-18,50,0.04169735655644757,0.4192014068992718,0.99,489,AdaptiveWin
12345,-12,10,0.08490762553402398,0.4097604965241173,0.9750060390726198,480,AdaptiveWin
12345,-12,25,0.009086373446189455,0.408787542278294,0.9696708109653571,471,WhitenessOnly
12345,-12,50,0.05436378878321335,0.46955593088582015,0.99,488,AdaptiveWin
12345,-6,10,0.0824372422133326,0.4475220881750334,0.986388950004575,402,AdaptiveWin
12345,-6,25,-0.06401695727027512,0.44944476717036885,0.9839367451052994,413,WhitenessOnly
12345,-6,50,0.032522441615246755,0.7027030122792722,0.99,534,AdaptiveWin
23456,-18,10,-0.5369312068629384,0.3849589695817417,0.9292123743504633,443,WhitenessOnly
23456,-18,25,-0.5322362232180282,0.38366828415651677,0.9546549643915703,454,WhitenessOnly
23456,-18,50,-0.45998677327844106,0.3928901678476957,0.8796228912983445,473,WhitenessOnly
23456,-12,10,-0.6354306943985737,0.38946907045766926,0.9745273048554834,444,WhitenessOnly
23456,-12,25,-0.71524309909341,0.38688547068703216,0.9817807606543324,461,WhitenessOnly
23456,-12,50,-0.6660311697956338,0.4738188158202412,0.9663353938329049,511,WhitenessOnly
23456,-6,10,-0.04799720418401332,0.44386168601748494,0.9859711951005005,405,WhitenessOnly
23456,-6,25,-0.07825464743230004,0.4543417750381506,0.9886069270226799,433,WhitenessOnly
23456,-6,50,-0.23810853954470979,0.7353828276078361,0.99,650,WhitenessOnly
34567,-18,10,0.10732990260687458,0.33283678555527285,0.99,453,AdaptiveWin
34567,-18,25,0.11411156991132998,0.3337429020716926,0.99,448,AdaptiveWin
34567,-18,50,0.06630076226273474,0.39489731983904697,0.970699440289753,483,AdaptiveWin
34567,-12,10,0.12811176013342873,0.34779253639750807,0.99,405,AdaptiveWin
34567,-12,25,0.1826327055769834,0.3538309757536778,0.99,413,AdaptiveWin
34567,-12,50,0.03662771524747477,0.5851930203922207,0.9847794196142335,519,AdaptiveWin
34567,-6,10,0.05624070698335881,0.503204546955639,0.99,282,AdaptiveWin
34567,-6,25,0.054639487778141316,0.5239235263208744,0.99,336,AdaptiveWin
34567,-6,50,-0.05260372436766403,0.8786050784984608,0.99,646,WhitenessOnly
